"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C3","1","1n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4","1","6n8","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C5","1","1u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C6,C7,C9","3","22u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C8","1","10p","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C10","1","0u1","","","","Capacitor_SMD:C_0603_1608Metric","~"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13","13","GREEN","","","","LED_SMD:LED_0805_2012Metric","~"
"FB1","1","600 @ 600 MHz","","","","Inductor_SMD:L_0805_2012Metric","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_4.3mm_M4_Pad","~"
"J1","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_CLIFF_FC681465S_SMT_Horizontal","~"
"J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J60,J61,J62,J63,J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74","72","P70-1000045R","","","","P70-1000045R:HARWIN_P70-1000045R",""
"J75","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~"
"L1","1","3u3","","","","Inductor_SMD:L_0805_2012Metric","~"
"Q2","1","FQP27P06","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/FQP27P06-D.PDF"
"R1,R5","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","20","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","40k2","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","7k68","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","604k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43","13","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8,R10,R12,R14,R16,R17,R20,R21,R24,R26,R28,R30","12","3.3k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9,R11,R13,R15,R18,R19,R22,R23,R25,R27,R29,R31","12","15k","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","MP2331HGTL-Z","","","","SOT583_MP2331H","MP2331HGTL-Z"
"U2,U10,U11,U12,U13,U14","6","SN754410NE","","","","Package_DIP:DIP-16_W7.62mm","https://www.ti.com/lit/ds/symlink/sn754410.pdf"
"U3","1","DEV-16771","","","","DEV-16771:MODULE_DEV-16771",""
"U4,U5,U6,U7,U8,U9","6","OPA2197xD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa2197.pdf"
"U15","1","TCAN334","","","","","http://www.ti.com/lit/ds/symlink/tcan337.pdf"
